abandon;v. từ bỏ
chicanery;n. việc dùng mánh khóe, sự nói chuyện khôn khéo để lừa gạt người khác
circumspect;adj. thận trọng
circumvent;v. tìm cách tránh một khó khăn hoặc một quy định nào đó, lách (luật)
cogent;adj. vững chắc, có sức thuyết phục
cold-shoulder;v. lạnh nhạt với ai
collide;v. va nhau, đụng nhau
commodious;adj. rộng rãi
concord;n. sự hòa hợp, hòa thuận
condolence;n. lời chia buồn, sự chia buồn
condone;v. tha thứ, bỏ qua
confederate;n. người đồng mưu, người cấu kết
confluence;n. sự hợp lưu (khi hai thứ hợp thành một)
confound;v. khiến ai bối rối và ngạc nhiên
congregate;v. tập hợp, tụ hợp
consecrate;v. dùng cho mục đích tôn giáo
conspire;v. âm mưu (việc gì đó bất hợp pháp hoặc tai hại)
consummate;adj. cực kì giỏi, hoàn hảo
contrive;v. xoay xở, lo liệu
convivial;adj. vui tươi, thân thiện (bầu không khí, tính cách)
cordial;adj. nồng hậu
coterie;n. nhóm (những người có cùng sở thích nhưng không thích mời người khác)
covet;v. thèm thuồng, thèm muốn
crass;adj. đần độn, dốt đặc
creditable;adj. đáng khen, đáng ca ngợi
credulous;adj. cả tin, nhẹ dạ
cringe;v. tránh xa ai, trốn ai vì sợ
culpable;adj. đáng khiển trách
dearth;n. sự thiếu, sự khan hiếm
decipher;v. giải mã
deem;v. cho rằng, thấy rằng
delectable;adj. ngon lành
deluge;v. đổ dồn một thứ gì cho ai, cái gì trong cùng một lúc
demagogue;n. (chính trị gia, người cầm quyền) kẻ mị dân
demure;adj. kín đáo, nghiêm trang, từ tốn
denounce;v. chỉ trích mạnh mẽ
deplete;v. cạn kiệt, suy yếu
deplore;v. kịch liệt phản đối
deprave;v. làm hư hỏng, làm suy đồi
deprecate;v. phản đối mạnh, không tán thành
depreciate;v. bị giảm giá trị
deranged;adj. loạn trí
destitute;adj. bần cùng
didactic;adj. để dạy ai điều gì, sư phạm
diffident;adj. thiếu tự tin, không muốn nói về bản thân
dilettante;n. người không chuyên sâu (không tập trung đi sâu vào cái gì), nghiệp dư
disconcert;v. làm bối rối, làm lúng túng
disconsolate;adj. rất buồn và thất vọng
discord;n. sự bất hòa
dispassionate;adj. không thiên vị
disseminate;v. truyền bá, phổ biến, gieo rắc (khắp nơi)
dissipate;v. xua tan, (làm) tiêu tan
dissociate;v. tách mình ra khỏi một kế hoạch, hoạt động,...
dissolute;adj. phóng đãng
divulge;v. tiết lộ thông tin bí mật
dolorous;adj. đau thương
edict;n. chỉ dụ, sắc lệnh
edify;v. mở mang trí óc (ai), soi sáng ai (nghĩa bóng)
effete;adj. suy yếu, hết thời
egoism;n. tính ích kỷ
egregious;adj. cực kì xấu xa, tệ
elevate;v. nâng lên
elucidate;v. làm sáng tỏ, giải thích
elude;v. tránh né, trốn thoát ai một cách khéo léo
encase;v. bọc lấy, bao bọc (để bảo vệ)
encroach;v. xâm phạm (thời gian, quyền lợi, đời tư,...)
engender;v. gây ra, đem lại
ennui;n. sự buồn chán
ensue;v. xảy ra sau đó
enthral;v. mê hoặc, làm mê mệt
entreat;v. khẩn nài, khẩn khoản
ephemeral;adj. phù du, kéo dài trong thời gian ngắn
epitaph;n. văn bia
epithet;n. từ dùng để chỉ ai hoặc cái gì đó có tính chất quan trọng (nhất là để khen hoặc chỉ trích)
equable;adj. điềm đạm, điềm tĩnh
erode;v. xói mòn, ăn mòn
err;v. phạm sai lầm
erudite;adj. học rộng, uyên bác
evacuate;v. sơ tán
exalt;v. ca ngợi
excavate;v. khai quật
excerpt;n. đoạn trích
exhilarate;v. làm vui vẻ, làm phấn khởi
expound;v. trình bày chi tiết
expurgate;v. cắt bỏ (những chỗ không thích hợp trong một cuốn sách hoặc một cuộc hội thoại)
extirpate;v. phá hủy, hủy bỏ một thứ không tốt hoặc không cần đến
extol;v. tán dương, khen ngợi
extraneous;adj. không trực tiếp liên quan đến (vấn đề đang giải quyết...)
exult;v. hân hoan, hoan hỉ, hả hê (vì một điều gì đã diễn ra)
facetious;adj. cố gắng tỏ ra đùa cợt (một cách không phù hợp, không đúng lúc)
fallible;adj. có thể sai lầm
fastidious;adj. tỉ mỉ, kĩ lưỡng
fatuous;adj. ngu ngốc
feign;v. giả vờ
fervid;adj. nồng nhiệt, tha thiết
flaccid;adj. mềm, nhũn
flagrant;adj. trắng trợn (hint :f...)
flashback;n. hồi tưởng
flaunt;v. khoe khoang
fluctuate;v. dao động, thay đổi bất thường
fortuitous;adj. tình cờ (nhất là một điều may mắn)
fracas;n. cuộc cãi lộn ầm ĩ, cuộc ẩu đã ầm ĩ
frugal;adj. tiết kiệm
frustrate;v. làm ai đó nản
genealogy;n. gia phả học
gesticulate;v. khoa tay múa chân (để diễn đạt hoặc gây sự chú ý)
glib;adj. lém lỉnh, liến thoắng
glisten;v. sáng lấp lánh
glorify;v. tuyên dương, ca ngợi
gratify;v. làm ai đó hài lòng
gregarious;adj. thích giao lưu
haggle;v. mặc cả, tranh cãi
handicraft;n. thủ công mỹ nghệ
harangue;v. diễn thuyết quyết liệt gay gắt nhằm chỉ trích ai, cái gì, kêu gọi, hô hào
haughty;adj. kiêu căng, ngạo mạn
heedless;adj. không chú ý, lơ là
heinous;adj. cực kỳ tàn ác
hiatus;n. quãng nghỉ
hurl;v. ném mạnh
hurtle;v. di chuyển rất nhanh về một hướng
hyperbole;n. lối nói cường điệu
idiosyncrasy;n. phong cách riêng (nhất là bất bình thường), đặc tính không bình thường
impair;v. làm suy yếu, phá hỏng
impeach;v. kết tội (một nhân vật quan trọng)
impervious;adj. không cho chất lỏng, khí thấm hay đi qua được
implacable;adj. không thể thay đổi được
impregnable;adj. bất khả xâm phạm
improvident;adj. không biết dự liệu, hoang phí
impugn;v. công kích, bài bác
inaugurate;v. khai mạc, tấn phong
incarcerate;v. bỏ tù, tống giam, giam hãm
incessant;adj. không dứt, liên miên
incisive;adj. sắc sảo, sâu sắc
incognito;adv. ẩn danh
incontrovertible;adj. không thể chối cãi, hiển nhiên
indefatigable;adj. không biết mỏi mệt
infinitesimal;adj. cực kì nhỏ
infringe;v. vi phạm luật lệ
ingenuous;adj. trung thực, ngây thơ
ingratiate;v. lấy lòng
innuendo;n. lời nói bóng nói gió, lời nói cạnh khóe
inordinate;adj. quá mức
inscrutable;adj. bí hiểm, khó hiểu (khó biết được suy nghĩ hay cảm xúc của họ)
insinuate;v. nói bóng gió, ám chỉ
instigate;v. xúi giục, kích động
intrepid;adj. gan dạ, dũng cảm
irascible;adj. dễ nổi nóng
irksome;adj. phiền phức
jaunty;adj. khoái chí, hài lòng với bản thân
laconic;adj. vắn tắt, súc tích
laud;v. ca ngợi, khen ngợi
luminary;n. chuyên gia, người gây ảnh hưởng lớn trong một lĩnh vực
microcosm;n. mô hình, đại diện thu nhỏ, thế giới vi mô
mingle;v. hòa lẫn, trộn lẫn
misanthrope;n. kẻ ghét mọi người và tránh xa xã hội loài người, kẻ ghét đời
mishandle;v. giải quyết tồi
misnomer;n. sự nhầm tên, sự dùng từ sai, sự dùng thuật ngữ sai
mobilize;v. hợp tác làm việc cho mục đích chung, huy động, động viên
morose;adj. buồn rầu, rầu rĩ, ủ ê
mortify;v. làm cho xấu hổ, làm mất thể diện
mutable;adj. có thể biến đổi
nonchalant;n. bình thản, thản nhiên
obnoxious;adj. khả ố, dễ ghét
obtrude;v. bắt ai phải chịu đựng mình, bắt ai phải chú ý đến mình
obviate;v. xoá bỏ (một vấn đề hoặc nhu cầu)
omnipotent;adj. toàn năng, có thể làm bất cứ điều gì
oppress;v. áp bức
ostensible;adj. bề ngoài là, có vẻ là (để che giấu sự thật)
ostracize;v. tẩy chay
pacify;v. làm yên, xoa dịu
panacea;n. thuốc bách bệnh, thần dược
patronize;v. bảo trợ, đỡ đầu
pedantic;adj. quá quan tâm về những chi tiết, quy tắc nhỏ nhặt
pensive;adj. trầm ngâm, đăm chiêu (nhất là vì chán hay lo lắng)
peremptory;adj. cưỡng bách
permeate;v. lan ra, tràn ngập
perplex;v. làm rối trí, làm khó hiểu
pertinacious;adj. bướng bỉnh, ương ngạnh
peruse;v. đọc kỹ, nghiên cứu
pervade;v. toả khắp, tràn ngập khắp
petrify;v. làm ai đó sững sờ, chết điếng
phobia;n. sự ám ảnh, nỗi sợ hãi
plagiarize;v. đạo văn
platitude;n. lời nhận xét, câu phát biểu vô vị, tầm thường
plebeian;adj. thuộc tầng lớp xa hội thấp, bình dân, thấp hèn
pomp;n. trang phục, đồ trang trí, âm nhạc trang trọng,... và những nghi thức truyền thống của một dịp hay nghi lễ
ponderous;adj. rất nhàm chán và chậm chạp
posthumous;adj. (xảy ra, thực hiện, xuất bản...) sau khi ai đó chết
precipitous;adj. vội vàng, hấp tấp
precocious;adj. sớm phát triển, có một số khả năng được phát triển ở tuổi sớm hơn bình thường
predilection;n. sự ưa chuộng, sự ưa thích đặc biệt (cái gì)
prevaricate;v. nói quanh co (để lảng tránh sự thật)
procrastinate;v. trì hoãn, chần chừ
proficient;adj. tài giỏi, thành thạo
promulgate;v. truyền bá, phổ biến
propagate;v. tuyên truyền
propel;v. khiến, thúc đẩy ai đi theo một hướng hay lâm vào tình trạng nào đó
pseudonym;n. biệt hiệu, bút danh
quandary;n. tình thế khó xử
querulous;adj. hay than phiền, cáu kỉnh, bực mình
quintessence;n. ví dụ hoàn hảo, điển hình
ramification;n. sự phân nhánh, sự chia nhánh
raze;v. san bằng, phá trụi
recapitulate;v. tóm tắt lại
recede;v. rời xa (ai hoặc một tình thế trước đó)
recumbent;adj. nằm nghiêng
redolent;adj. sực mùi, thơm phức
redoubtable;adj. được kính trọng, đáng sợ, đáng kính
reimburse;v. bồi thường
reiterate;v. lặp lại để nhấn mạnh
remunerative;adj. được trả hậu
renegade;n. kẻ phản bội (phản đảng, phản đạo)
replenish;v. làm đầy
reverberate;v. dội lại, vang lại nhiều lần (âm thanh), phản chiếu, phản xạ nhiều lần (ánh sáng, sức nóng...)
sacrosanct;adj. rất quan trọng (không thể thay đổi hay nghi ngờ)
sanctimonious;adj. đạo đức giả
sanguine;adj. lạc quan, đầy hy vọng
scintilla;n. một lượng rất nhỏ, một chút
scribble;v. viết nhanh và ẩu, hí hoáy
scrutinize;v. xem xét kĩ lưỡng
seclude;v. tách ai, mình ra khỏi những người khác
sinecure;n. công việc nhàn rỗi
skepticism;n. sự hoài nghi
slovenly;adj. cẩu thả, lôi thôi
sophisticate;n. người thời lưu, người hiểu đời và nắm được xu thế văn hóa xã hội
spurn;v. từ chối, hắt hủi
stipulate;v. quy định
stoic;n. người có thể chịu đựng nỗi đau hoặc rắc rối mà không phàn nàn hay thể hiện cảm xúc
stupendous;adj. rất lớn hoặc ấn tượng (đặc biệt là khi nhiều hoặc tốt hơn mong đợi)
subdue;v. chinh phục, khuất phục
subside;v. giảm bớt, lắng đi
sultry;adj. oi bức, ngột ngạt
surpass;v. vượt qua, vượt xa
tantamount;adj. đồng nghĩa với, tương đương với
temerity;n. sự táo bạo, bạo gan (thường bị chỉ trích là thô lỗ)
temporize;v. trì hoãn, hoãn trả lời dứt khoát (nhằm tranh thủ thời gian)
transgress;v. vi phạm, vượt quá giới hạn cho phép (đạo đức hoặc pháp luật)
tremulous;adj. run (vì căng thẳng)
turgid;adj. sưng, chứa nhiều nước hơn bình thường
unauthorized;adj. trái phép, không được phép
unbiased;adj. công bằng, không thiên vị
uncouth;adj. thô lỗ, bất lịch sự
unquenchable;adj. không đủ đáp ứng, không thể thỏa mãn
untenable;adj. không đứng vững được, không trụ lại được
unveil;v. tuyên bố công khai, ra mắt (kế hoạch, sản phẩm,...)
utilize;v. sử dụng, tận dụng cái gì cho một mục đích
vandalize;v. phá hoại (tài sản công cộng)
vanquish;v. đánh bại hoàn toàn
