abroad;adv. (ở) nước ngoài
strive;v. cố gắng, phấn đấu (để đạt được một điều gì đó)
struggle;v. đấu tranh
stunning;adj. ấn tượng, cuốn hút
subjective;adj. chủ quan
substance;n. chất
substitute;v. thay thế
successful;adj. thành công
superior;n. người có vị thế, cấp bậc cao hơn, cấp trên
surface;n. mặt, bề mặt
surround;v. bao quanh
suspect;v. nghi ngờ, ngờ vực
sustain;v. giữ vững được, duy trì
sweep;v. quét
tend;v. có xu hướng, có khuynh hướng, thường
terrorism;n. chủ nghĩa khủng bố
toxic;adj. độc hại (hint :t...)
transfer;v. chuyển
transform;v. thay đổi, biến đổi
ultimately;adv. cuối cùng, sau cùng
valid;adj. có giá trị, có hiệu lực
vivid;adj. sinh động
vulnerable;adj. dễ bị tổn thương
withdraw;v. rút tiền
wonder;n. kỳ quan
worthwhile;adj. đáng giá, xứng đáng
