I get up;Tớ thức dậy
I dance;Tớ nhảy
It's exciting;Nó rất thú vị
My hair is swinging;Tóc tớ đang đung đưa
I put the books in my bag;Tớ cho sách vào trong túi
I wear my school uniform;Tớ mặc đồng phục của trường
I chek my bag every morning;Tớ kiểm tra cặp sách mỗi buổi sáng
I wake up at seven;Tôi dậy vào lúc 7 giờ
The alarm clock goes off;Đồng hồ báo thức đã tắt
Is it already time to get up?;Đã đến lúc phải dậy chưa?
I get out of bed;Tôi ra khỏi giường
I want to sleep longer;Tôi muốn ngủ lâu hơn nữa
My hair is messy;Tóc tôi đang rối tung
I open the curtains;Tôi mở rèm
It's fine today;Hôm nay trời rất đẹp
I hear birds singing;Tôi nghe thấy những con chim đang hót líu lo
I look at myself in the mirror;Tôi soi mình trong gương
I brush my hair;Tôi chải tóc
I look well;Trông tôi đẹp rồi
I sit at the table;Tôi ngồi cạnh bàn
I eat some bread and coffee for breakfast;Tôi ăn một chút bánh mì và cà phê cho bữa sáng
I never skip breakfast;Tôi không bao giờ bỏ bữa sáng
I put some butter on my toast;Tôi cho một ít bơ lên bánh mì nướng
The butter melts on the toast;Bơ tan ra trên bánh mì
I spread it with a butter knife;Tôi phết bơ bằng một con dao cắt bơ
I pour cream in my coffee;Tôi tưới kem lên cà phê
I add some sugar too;Tôi cũng cho thêm một ít đường
The coffee smells good;Cà phê rất thơm
 I pick up a spoon;Tôi lấy một cái thìa
The coffee is hot;Cà phê rất nóng
I finish eating my toast;Tôi đã ăn xong bánh mì nướng rồi
I stir my coffee;Tôi khuấy cà phê
Coffee wakes me up;Cà phê làm tôi tỉnh táo
I clear the table after the breakfast;Tôi dọn sạch bàn sau bữa sáng
I gather my papers;Tôi thu lượm tất cả giấy tờ
I glance at them;Tôi nhìn qua chúng
I put them in my paper bag;Tôi bỏ chúng vào túi của mình
I walk down the street;Tôi đi bộ xuống đường
I leave for work;Tôi tan ca làm
I walk faster to catch the train;Tôi đi nhanh để bắt kịp chuyến tàu
I go through the ticket gate;Tôi đi qua cổng soát vé
The station employee greets me;Nhân viên nhà ga chào hỏi tôi
I show him my train pass;Tôi đưa vé cho anh ấy xem
I run up the stairs;Tôi chạy lên cầu thang
I'm in a hurry;Tôi đang rất vội
I don't want to miss the train;Tôi không muốn bị nhỡ tàu
I get on the train;Tôi lên tàu
I'm relieved;Tôi nhẹ nhõm cả người
I look for a seat;Tôi tìm một chỗ ngồi
I find an empty seat;Tôi tìm thấy một chỗ ngồi còn trống
I'm lucky;Tôi thật may mắn
I sit next to a man;Tôi ngồi cạnh một người đàn ông
I show my train pass to the conductor;Tôi đưa vé cho người thu tiền vé xe (phụ xe)
He checks it;Anh ấy kiểm tra vé
I put my bag on my knee;Tôi để túi trên đầu gối của mình
I head toward the exit;Tôi đi thẳng tới lối ra
I have to go up the stairs;Tôi phải leo lên bậc thang
There is the exit sign on the wall;Có biển chỉ dẫn lối ra ở trên tường
 I cross at the crosswalk;Tôi băng qua lối qua đường
The signal is green;Đèn báo hiệu màu xanh
It's dangerous to cross against the red light;Sẽ rất nguy hiểm khi đi qua đường lúc đèn đỏ
I get on the elevator;Tôi vào thang máy
I arrive at the office;Tôi đi đến văn phòng
The door is closing;Cánh cửa đang đóng lại
I enter the office;Tôi bước vào văn phòng
I turn the door knob;Tôi vặn khóa cửa
I greet my co- workers;Tôi chào hỏi đồng nghiệp
I open my desk drawer;Tôi mở ngăn khéo bàn
I look for my pen;Tôi tìm chiếc bút
I put my stationery in order;Tôi để đồ dùng văn phòng theo thứ tự
I type a letter;Tôi soạn một lá thư
I can type fast;Tôi có thể đánh máy rất nhanh
I'm a good secretary;Tôi là một thư kí giỏi
I hail a taxi;Tôi gọi một chiếc taxi
I finish my work;Tôi đã làm xong việc
I leave the office;Tôi rời văn phòng
I give the taxi driver directions to the restaurant;Tôi chỉ cho tài xế taxi đường đến nhà hàng
I get on taxi;Tôi lên taxi
The taxi driver is nice;Tài xế taxi rất tốt bụng
I walk into the restaurant;Tôi bước vào nhà hàng
The waitress guides me to the seat;Người bồi bàn chỉ tôi chỗ ngồi
She holds a menu;Cô ấy đang cầm một bảng thực đơn
 I sit down and look at the menu;Tôi ngồi xuống và nhìn vào thực đơn
The waitress served a glass of water and a towel first;Người bồi bàn phục vụ tôi một cốc nước và một chiếc khăn
What shall I have?;Tôi nên ăn gì đây?
I order a drink;Tôi gọi đồ uống
I give my order to the waitress;Tôi bảo cho người bồi bàn đồ uống tôi muốn dùng
I'll give a soda;Tôi sẽ uống soda
I order my dinner;Tôi gọi đồ ăn cho bữa tối
I'd like spaghetti and a salad, please;Tôi muốn ăn spaghetti và rau trộn
The waitress takes my order;Người bồi bàn nhận thực đơn gọi món của tôi
I make a toast with my friend;Tôi cụng ly với bạn của mình
She wears a nice green suit;Cô ấy mặc 1 bộ quần áo màu xanh
We say “cheers”;Chúng Tôi nói “Vui vẻ!”
I pay the bill;Tôi thanh toán hóa đơn
I take a ten thousand yen bill out of my wallet;Tôi lấy 10 yên ra khỏi ví * Yên: đơn vị tiền tệ của Nhật Bản
I treat her;Tôi đãi cô ấy
I get my change;Tôi nhận lại tiền thừa
The waitress hands it to me;Người bồi bàn đưa tiền thừa cho tôi
I put the change in my wallet;Tôi cho tiền thừa vào ví
I relax in the chair;Tôi thư giãn trên ghế
I change into more comfortable clothes;Tôi đã thay một bộ quần áo thoải mái hơn
I drink a cup of coffee;Tôi uống 1 tách cà phê
I read a letter;Tôi đọc một lá thư
It's from my friend;Nó đến từ một người bạn của tôi
She's on  a trip to Hawaii;Cô ấy đang có một chuyến đi đến Hawaii
I turn on the television;Tôi mở ti-vi
I use the remote control to turn it on;Tôi dùng điều khiển để mở ti-vi
What's on tonight?;Tối nay có chương trình gì?
I change channels;Tôi chuyển kênh
I don't feel like watching comedy now;Tôi không cảm thấy thích xem hài kịch lúc này
I continue to change channels;Tôi tiếp tục chuyển kênh
I watch a movie;Tôi xem một bộ phim
I like movies;Tôi thích phim
It's just started;Nó vừa mới bắt đầu thôi
I look at the clock;Tôi nhìn đồng hồ
It's already 9 o'clock;Đã 9 giờ rồi
Time goes by quickly;Thời gian trôi thật nhanh
I take a shower;Tôi đi tắm
The hot water comes out from the shower;Nước nóng xả ra từ vòi hoa sen
I feel good;Tôi cảm thấy rất thư giãn
I put on my pajamas;Tôi mặc đồ ngủ
I button up my pajamas;Tôi cài khuy áo bộ đồ ngủ
I put a curler on my bangs;Tôi cuộn lô lên tóc mái
I keep myself warm;Tôi giữ cho mình thật ấm
I put my short robe on;Tôi mặc chiếc áo choàng ngắn lên người
I tie the strings in front;Tôi thắt dây phía trước
I set the alarm clock for seven;Tôi đặt đồng hồ báo thức 7 giờ
I don't want to oversleep tomorrow;Tôi không muốn sáng mai ngủ quên
This alarm is noisy;Chuông báo này rất ồn
I turn off the light;Tôi tắt điện
I put the alarm clock on the side table;Tôi đặt chiếc đồng hộ báo thức ở bên cạnh bàn
I go to sleep at ten;Tôi đi ngủ lúc 10 giờ
I find a telephone boot;Tôi tìm một cái bốt đi ện thoại
It's empty now;Bốt đi ện thoại đang trống
I have to call the office;Tôi gọi phải gọi đến văn phòng
I step outside;Tôi bước tới phía ngoài
I pull the door closed;Tôi kéo cửa đóng vào
I make a telephone call;Tôi gọ   i đi ện thoại
I reach into my pocket;Tôi đưa tay vào túi áo
I feel in my pocket for a coin;Tôi tìm đồng xu trong túi
I pick up the receiver;Tôi nhấc ống nghe lên
I take a ten yen coun out of my pocket;Tôi lấy 10 yên ra khỏi túi
I think ten yen is enough;Tôi nghĩ 10 yên là đủ
I make a local call;Tôi gọi một cuộc gọi nội mạng
I put the coin in the telephone;Tôi bỏ đồng xu vào máy
I put another coin in just in case;Tôi bỏ thêm một đồng xu nữa để dự phòng
If ten yen isn't enough, the telephone goes dead suddenly;Nếu 10 yên không đủ, thì điện thoại sẽ ngắt đột ngột
I dial the number;Tôi ấn số
Who will answer the phone?;Ai sẽ trả lời điện thoại của Tôi nhỉ?
I hope the line isn't busy;Tôi hi vọng đường dây không bận
I talk on the telephone;Tôi nói chuyện qua điện thoại
I report on my sales to my boss;Tôi báo cáo tình hình bán hàng tới ông chủ
I hang up;Tôi kết thúc cuộc gọi
I walk down the stairs;Tôi đi bộ xuống cầu thang
I watch for the steps;Tôi chú ý bước đi cẩn thận
I'm on the way to meet a new customer;Tôi đang trên đường đến gặp một khách hàng mới
I look at the map;Tôi nhìn vào bản đồ
I check the place;Tôi kiểm tra điểm đến
I'm not sure where the firm is;Tôi không biết chắc công ty đó ở đâu
I ask for directions;Tôi hỏi đường đi
She tells me the way politely;Cô ấy chỉ đường cho tôi một cách rất lịch sự
She points at the direction;Cô ấy chỉ hướng đi
I head for the beach;Tôi đi thẳng đến biển
I wear sun-glasses -I'm humming;Tôi đeo kính râm
I play Frisbee;Tôi ngâm nga
I throw a Frisbee;Tôi chơi ném đĩa
I enjoy playing Frisbee;Tôi ném một chiếc đĩa
I sunbathe;Tôi phơi nắng
I lie on a towel;Tôi nằm trên một cái khăn tắm
I get a tan;Tôi rám nắng
I walk into the supermarket;Tôi đi vào trong siêu thị
The door opens automatically;Cánh cửa tự động mở
I see some fruit near the entrance;Tôi nhìn thấy hoa quả ngay cạnh lối vào
I get a shopping cart;Tôi lấy một cái giỏ hàng
It's convenient for carrrying lots of food;Nó rất tiện lợi để chở nhiều đồ
I push the cart with one hand;Tôi dùng một tay đẩy giỏ hàng
I check the shopping list;Tôi kiểm tra danh sách mua đồ
I have a lot of things to buy;Có rất nhiều thứ phải mua
I put my bag on the bottom of the shopping cart;Tôi bỏ túi xách của mình xuống dưới đáy giỏ hàng
I walk down the ailse;Tôi đi xuống phía lối đi
I see many goods displayed on the shelf;Tôi nhìn thấy nhiều đồ được trưng bày trên giá
I look for the goods I want;Tôi tìm mua đồ mà Tôi muốn
I stop at the meat section;Tôi dừng lại ở quầy thịt
I should buy meat;Tôi nên mua thịt
I look at a steak;Tôi nhìn vào miếng thịt
They are wrapped one by one;Chúng được gói từng miếng một
I choose the best one;Tôi chọn miếng ngon nhất
I look at the price;Tôi nhìn vào giá
Whoo, it's too expensive;Ôi, nó đắt quá!
I can't buy it;Tôi không thể mua được
I put it back;Tôi bỏ nó lại
I give up buying the steak;Tôi không mua miếng thịt đó nữa
I'll have a steak after I get my pay;Tôi sẽ mua thịt sau khi nhận lương
I pick up a package of ground beef;Tôi chọn một gói thịt bò xay
The price is reasonable;Giá của nó rất hợp lí
I can make hamburgers with it;Tôi có thể làm bánh hamburgers với túi thịt bò này
I put the package into the cart;Tôi bỏ gói thịt bò xay vào giỏ hàng
I have an apple and some bananas in my cart;Trong giỏ hàng của tôi có 1 quả táo và vài quả chuối
 I go through the fish section;Tôi đi qua quầy cá
I glance at the packages;Tôi liếc nhìn những gói cá
I don't need fish today;Hôm nay tôi không cần ăn cá
I take a six-pack of juice;Tôi lấy 6 hộp nước ép hoa quả
They are selling it at a special price today;Họ đang bán nó với một mức giá đặc biệt trong ngày hôm nay
I go to the cashier;Tôi đi đến chỗ thu ngân
I look at the receipt;Tôi nhìn vào hóa đơn
I check what I bought;Tôi kiểm tra những gì mình đã mua
I spent a lot of money;Tôi đã chi rất nhiều tiền
I go out of the store with the groceries;Tôi đi ra khỏi quầy hàng với rất nhiều hàng hóa
They are little heavy;Chúng hơi nặng một chút
I go home;Tôi đi về nhà
I open the cupboard;Tôi mở cửa tủ chạn
I take the dishes out of the cupboard;Tôi lấy đĩa ra khỏi tủ
I'm preparing for our lunch;Tôi chuẩn bị bữa trưa
I put the groceries on the table;Tôi để đồ  lên trên bàn
I roll up my sleeves;Tôi xắn tay áo
I prepare all the ingredients;Tôi chuẩn bị mọi nguyên liệu
I tap an egg on the table;Tôi đập một quả trứng lên bàn
The egg has a crack in the shell;Quả trứng có một vết nứt trên vỏ
Eggs break easily;Trứng rất dễ vỡ
I break an egg into a bowl;Tôi đập trứng vào bát
I hold the shells in my hands;Tôi giữ vỏ trứng ở trong tay mình
I break it very well;Tôi đập trứng rất giỏi
I throw away the shells;Tôi vứt vỏ trứng đi
I put them in a garbage box;Tôi bỏ chúng vào thùng rác
The sink is still clean;Bồn rửa vẫn rất sạch sẽ
I beat the egg;Tôi đánh trứng
Egg yolk and egg white is mixed;Lòng đỏ và lòng trắng được trộn vào nhau
It becomes yellow;Nó trở thành màu vàng
I pick up the onion;Tôi lấy 1 củ hành
I'll mix the onions with the egg;Tôi sẽ trộn hành với trứng
Onions have peels;Hành có vỏ
I peel the onion;Tôi gọt vỏ hành
I throw the peels away;Tôi vứt vỏ đi
I cut it into small pieces;Tôi thái hành thành những miếng nhỏ
I remove the seeds from the green pepper;Tôi tách hạt ra khỏi trái ớt xanh
There are many small seeds inside of the pepper;Có rất nhiều hạt trong quả ớt
I take out all of them;Tôi lấy hết hạt ra khỏi quả ớt
I mix the green pepper and the egg;Tôi trộn ớt xanh và trứng
I continue mixing;Tôi tiếp tục trộn
 What shall I put in next?;Tôi nên cho gì vào tiếp đây?
I take the ham out of the pack;Tôi lấy thịt hun khói ra khỏi túi
It's already sliced;Nó đã được thái sẵn rồi
I use a slice of ham;Tôi dùng một miếng thịt hun khói
I put the ham in the bowl;Tôi bỏ thịt hun khói vào bát
I mix in all the ingredients;Tôi trộn tất cả các nguyên liệu với nhau
I add salt and pepper last;Cuối cùng tôi cho thêm muối và tiêu vào
I stir the egg;Tôi khuấy đều trứng lên
I only have to fry it;Tôi chỉ việc rán nó nữa thôi
I make an omelet;Tôi làm món trứng tráng
I turn on the gas;Tôi bật bếp gas
I turn up the flame;Tôi bật lửa lên
It's hot around the stove;Quanh bếp rất nóng
I turn down the flame;Tôi hạ lửa
I put the pan on the stove;Tôi cho chảo lên bếp
Then I heat the pan;Tôi làm nóng chảo
I put some butter in a pan;Tôi cho 1 chút bơ vào chảo
It melts fast;Nó tan ra rất nhanh
I spread it in the pan;Tôi tản đều quanh chảo
I pour the egg into the pan;Tôi đỏ trứng vào chảo
I fry one side of the egg;Tôi rán một mặt trứng
I should be careful not to burn it;Tôi phải cẩn thận không để trứng bị cháy
I turn the egg over;Tôi lật trứng
I fry the other side;Tôi rán mặt còn lại
Now it's almost done;Sắp xong rồi
I put on an apron;Tôi đeo tạp dề
It has a big rocket shape;Nó có hình giống như tên lửa
I hold the apron strings;Tôi giữ dây của tạp dề
I tie the apron;Tôi buộc tạp dề
I tie the strings in a bow;Tôi thắt dây thành một cái nơ
I do it behind my back;Tôi thắt dây sau lưng
I wipe the window;Tôi lau cửa sổ
I blow on the window;Tôi hà hơi lên cửa sổ
I polish it;Tôi lau cho sạch bóng
I plug in the vacuum cleaner;Tôi cắm phích máy hút bụi
I vacuum the floor;Tôi hút bụi sàn nhà
The vacuum cleaner sucks up the dirt;Máy hút bụi sẽ hút hết mọi bụi bẩn
I put away the dirty dishes;Tôi mang những chiếc đĩa bẩn đi
I pile up one dish on top of another;Tôi xếp 1 cái đĩa lên trên cùng
We eat our lunch up;Chúng tôi đã ăn hết bữa trưa
I wipe the table;Tôi lau bàn
I clean it up;Tôi lau sạch bàn
I leave the soy sauce and the salt on the table;Tôi bỏ lại nước tương và muối trên bàn
I carry the dirty dishes to the sink;Tôi mang những cái đĩa bẩn tới bồn rửa
I carry them carefully;Tôi bê rất cẩn thận
I don't want to break them;Tôi không muốn làm vỡ chúng
I soak the dishes;Tôi nhúng những chiếc đĩa xuống nước
I fill the sink with water;Tôi xả đầy nước vào bồn
I wish I had a dishwasher;Tôi ước Tôi có một cái máy rửa chén bát
 I wash the dishes;Tôi rửa đĩa
I wash them with detergent;Tôi dùng dầu rửa để rửa
A cup is floating in the sink;Một cái cốc đang nổi bồng bềnh trong bồn sửa
I dry the dishes;Tôi lau khô đĩa
I wipe them with a dish towel;Tôi lau đĩa bằng một cái khăn
I put the dishes on the draining board;Tôi bỏ đĩa lên giá *draining board = drainboard: mặt nghiêng trên chạn đựng bát đựa (để ráo nước)
I put away the dishes in the cupboard;Tôi cho đĩa vào trong tủ chạn
I display the neatly;Tôi sắp xếp một cách gọn gàng
On, no. The inside of cupboard is dusty;Ôi không, bên trong tủ chạn bụi quá
I dry the clothes in the dryer;Tôi lau khô quần áo bằng máy sấy khô
The clothes go round in it;Quần áo quay tròn trong cái máy
The dryer is set above the washing machine;Máy sấy được thiết kế ngay trên máy giặt
I put the clothes in the basket;Tôi bỏ quần áo vào giỏ
I take them out of the dryer;Tôi lấy quần áo ra khỏi máy
The clothes are warm;Quần áo đã được sấy nóng
I take the sheet off the bed;Tôi lấy ga ra khỏi giường
I wash the sheet;Tôi giặt ga giường
I change the sheets;Tôi thay ga khác vào
I spread the clean sheet over the bed;Tôi trải tấm ga sạch lên giường
The clean sheet makes me feel fresh;Tấm ga sạch làm tôi cảm thấy rất mát mẻ
I make the bed;Tôi dọn giường
I take out the garbage;Tôi đi vứt rác
The garbage is in a black plastic bag;Rác được đựng trong túi bóng đen
I hold the garbage can in my arm;Tôi giữ thùng rác trên tay
I empty the garbage can;Tôi đổ hết rác
I turn the can upside down The trash comes out;Tôi dốc ngược thùng rác
I untie the apron strings;Tôi tháo tạp dề
I finish cleaning;Tôi đã dọn dẹp xong
I'm tired;Tôi rất mệt
I take off the apron;Tôi bỏ tạp dề ra
I fold it;Tôi gập nó
What shall I do next?;Tôi nên làm gì tiếp theo đây?
I lie down on the sofa;Tôi nằm lên ghế sofa
I take a rest;Tôi nghỉ ngơi
I close my eyes;Tôi nhắm mắt lại
I take off the tub covers;Tôi mở bồn tắm ra
The steam goes up;Hơi nước bốc lên
I put the covers aside;Tôi đề nắp bồn sang bên cạnh
I scoop up the hot water with the washbowl;Tôi múc nước nóng bằng một cái gáo
I stir the hot water;Tôi khuấy nước nóng
I pour the water on the body;Tôi dội nước lên người
I put soap on a washcloth;Tôi cho xà bông vào khăn tắm
It lathers very well;Nó có rất nhiều bọt
I wash my body;Tôi tắm
I scrub my legs;Tôi kì chân
I'm washing my right knee;Tôi rửa chân phải
I rinse out my body;Tôi tắm rửa thật sạch
I soak in the bathtub;Tôi ngâm mình vào bồn tắm
I'm dozing off in the bathtub;Tôi ngủ gật trong bồn tắm
The hot water feels good;Nước nóng thật dễ chịu
I put back the tub covers;Tôi đậy nắp bồn tắm lại
I wrap a bath towel around my body;Tôi quấn khăn quanh người
I get out of the bathroom;Tôi đi ra khỏi phòng tắm
I turn on the lights;Tôi bật điện
I push the switch;Tôi ấn công tắc
I stand in front of the washstand;Tôi đứng trước bồn rửa mặt
I reach for my toothbrush;Tôi lấy bàn chải đánh răng
Two bottles of lotion are on the shelf;Hai lọ sữa rửa mặt và gội đầu đang ở trên giá
I always put my toothbrush in my cup;Tôi luôn để bàn chải đánh răng vào cốc của mình
I put water in the cup;Tôi cho nước vào cốc
I turn on the faucet;Tôi mở vòi nước
I fill the cup with water;Tôi đổ đầy nước vào cốc
I squeeze out the toothpaste on my toothbrush;Tôi bóp kem đánh răng lên bàn chải
The paste comes out from the tube;Kem đánh răng đi ra từ tuýp kem
I brush my teeth;Tôi đánh răng
I brush my teeth after meals;Tôi đánh răng sau mỗi bữa ăn
I have no cavities;Tôi không có lỗ răng sâu nào cả
